pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_logg,sy_dist
11 Com b,11 Com,2,1,2007,326.03,1.29,,,6165.6,Msini,0.231,,,G8 III,4742,19,2.7,2.31,93.1846
11 Com b,11 Com,2,1,2007,,1.21,,,5434.7,Msini,,,,,,,2.6,,93.1846
11 UMi b,11 UMi,1,1,2009,516.22,1.54,,,3337.07,Msini,0.08,,,K4 III,4340,24.08,1.8,1.6,125.321
11 UMi b,11 UMi,1,1,2009,,1.51,,,3432.4,Msini,,,,,,,1.7,,125.321
11 UMi b,11 UMi,1,1,2009,516.21997,1.53,,,4684.8142,Msini,0.08,,,,4213,29.79,2.78,1.93,125.321
14 And b,14 And,1,1,2008,185.84,0.83,,,1525.5,Msini,0,,,K0 III,4813,11,2.2,2.63,75.4392
14 And b,14 And,1,1,2008,,0.68,,,1017,Msini,,,,,,,1.2,,75.4392
16 Cyg B b,16 Cyg B,3,1,1996,798.5,1.66,,,565.7374,Msini,0.68,,,,5750,1.13,1.08,4.36,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,799.45,1.676,,,556.83537,Msini,0.6832,,,,5711.97,1.16,0.98,4.3,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,798.5,1.681,,,533.9544,Msini,0.681,,,,5674,,0.99,4.36,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,800.8,1.6,,,476.7,Msini,0.634,,,G2.5 V,5760,,1,4.35,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,799.5,1.68,,,533.93,Msini,0.689,,,,5747,1.13,1.03,4.35,21.1397
16 Cyg B b,16 Cyg B,3,1,1996,799.5,1.68,,,533.93,Msini,0.689,,,G3 V,,,,,21.1397
17 Sco b,17 Sco,1,1,2020,578.38,1.45,,,1373.01872,Msini,0.06,,,K3 III,4157,25.92,1.22,1.7,124.953
18 Del b,18 Del,2,1,2008,993.3,2.6,,,3273.5,Msini,0.08,,,G6 III,4979,8.5,2.3,2.82,76.222
18 Del b,18 Del,2,1,2008,,2.54,,,3127.3,Msini,,,,,,,2.1,,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,330,18.647,2543,2543,Mass,,,1800,K7 V,4060,1.35,0.85,,139.135
